"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","batch","trial_index","risk_c","gain_c","Intercept","Risk_Beta","Gain_Beta","Interaction_Beta","Risk_sig","Gain_sig","Interaction_sig"
"49","01rSsifR","Mood",75,25,35,40,"Yes to treatment",90,5473.42000000208,1.4,1,"49",-20.8,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"50","01rSsifR","Mood",75,65,25,10,"No to treatment",77,529.495000002498,0.384615384615385,1,"50",19.2,-2.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"51","01rSsifR","Mood",75,40,10,50,"No to treatment",77,738.004999999248,0.25,1,"51",-5.8,-17.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"52","01rSsifR","Mood",75,25,45,30,"Yes to treatment",90,881.884999998903,1.8,1,"52",-20.8,17.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"53","01rSsifR","Mood",75,65,30,5,"No to treatment",90,994.02000000191,0.461538461538462,1,"53",19.2,2.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"54","01rSsifR","Mood",75,5,75,20,"Yes to treatment",77,642.015000001295,15,1,"54",-40.8,47.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"55","01rSsifR","Mood",75,30,20,50,"No to treatment",77,801.445000000967,0.666666666666667,1,"55",-15.8,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"56","01rSsifR","Mood",75,15,10,75,"No to treatment",90,1393.70500000229,0.666666666666667,1,"56",-30.8,-17.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"57","01rSsifR","Mood",75,50,35,15,"No to treatment",90,849.764999999024,0.7,1,"57",4.2,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"58","01rSsifR","Mood",75,10,5,85,"No to treatment",90,1602.04500000327,0.5,1,"58",-35.8,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"59","01rSsifR","Mood",75,80,15,5,"No to treatment",90,833.630000000994,0.1875,1,"59",34.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"60","01rSsifR","Mood",75,25,15,60,"No to treatment",77,944.754999996803,0.6,1,"60",-20.8,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"61","01rSsifR","Mood",75,75,20,5,"No to treatment",77,945.255000002362,0.266666666666667,1,"61",29.2,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"62","01rSsifR","Mood",75,40,35,25,"No to treatment",77,2577.82499999666,0.875,1,"62",-5.8,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"63","01rSsifR","Mood",75,35,5,60,"No to treatment",90,850.51999999996,0.142857142857143,1,"63",-10.8,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"64","01rSsifR","Mood",75,85,5,10,"No to treatment",90,690.744999999879,0.0588235294117647,1,"64",39.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"65","01rSsifR","Mood",75,20,5,75,"No to treatment",77,849.469999997411,0.25,1,"65",-25.8,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"66","01rSsifR","Mood",75,80,5,15,"No to treatment",90,714.359999998123,0.0625,1,"66",34.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"67","01rSsifR","Mood",75,5,90,5,"Yes to treatment",90,769.834999999148,18,1,"67",-40.8,62.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"68","01rSsifR","Mood",75,25,15,60,"No to treatment",90,1121.24500000209,0.6,1,"68",-20.8,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"69","01rSsifR","Mood",75,60,10,30,"No to treatment",90,737.744999998511,0.166666666666667,1,"69",14.2,-17.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"70","01rSsifR","Mood",75,35,40,25,"Yes to treatment",77,849.040000000969,1.14285714285714,1,"70",-10.8,12.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"71","01rSsifR","Mood",75,75,20,5,"No to treatment",90,706.154999999853,0.266666666666667,1,"71",29.2,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"72","01rSsifR","Mood",75,25,15,60,"No to treatment",90,2098.34000000046,0.6,1,"72",-20.8,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"73","01rSsifR","Mood",75,65,15,20,"No to treatment",90,769.885000001523,0.230769230769231,1,"73",19.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"74","01rSsifR","Mood",75,15,30,55,"Yes to treatment",77,1281.52999999656,2,1,"74",-30.8,2.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"75","01rSsifR","Mood",75,85,5,10,"No to treatment",77,1080.81500000117,0.0588235294117647,1,"75",39.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
